productid,userid,sentiment
6057213,101,Design und Qualität
6057213,101,"Batteriebetrieb, gute Laufzeit"
6057213,101,Gute Helligkeit (Achtung: alle Details des Gesichts sind sichtbar!)
6057213,101,"Habe schon diverse Spiegel ausprobiert, dieser ist perfekt"
6057213,103,gute Vergrösserung
6057213,103,Helles Licht
6057213,103,Automatisch an/aus
6057213,105,gute qualität-toles aussehen.
6057213,105,Gutes Licht (sehr hell)
6057213,105,Sehr hohe Vergrösserung (man sieht jede Pore)
6057213,105,Man ist nicht an einen Standort gebunden
6057213,106,Reiseetui mit Reissverschluss
6057213,106,Berührungslampe LED auch ausschaltbar
6057213,106,toller Spiegel
6057213,108,Formschön
6057213,108,flach zusammenklappbar
6057213,108,Hell & starke Vergrösserung
6057213,108,USB-Aufladung
6057213,108,Automatisches Einschalten bei Annäherung
6057213,108,"Standfest, Positionsfest"
6057213,108,Wertiges Etui für Reisen
6057213,109,Vergrösserung
6057213,109,Licht
6057213,109,Reiseetui
6057213,110,Lässt sich mittels USB laden
6057213,110,Gutes Licht
6057213,110,Sehr grosse Vergrösserung (ev. ZU GROSS) - ist am Anfang sehr irritierend
6057213,110,"Schlanker Fuss, steht aber gut"
6057213,110,Schaltet sich von selbst ab
6057213,111,Alles sehr gut
6057213,112,Sie können jede Unvollkommenheit sehen
6057213,113,Sieht sehr gut aus
6057213,113,"Das Licht geht an wenn man reinschaut, finde ich klasse"
6057213,113,Sehr stabil
6057213,113,Guter Stand. Leichtes schnelles Aufladen. Schaltet selber nach kurzer zeit bei Nichtbenutzung ab.
6057213,115,mit ca. 12cm nicht zu klein
6057213,115,Beleuchtung
6057213,116,Man sieht jedes Haar und Pore
6057213,116,Imbegriffenes Etui (praktisch für Reisen)
6057213,117,"Lässt sich ganz klein einpacken, ideal zum reisen"
6057213,117,Leicht
6057213,117,"Etui als Schutz, sehr robust und optimal"
6057213,117,"Tageslicht 1zu1, make up wie im Spiegel so auch draussen im Tageslicht"
6057213,117,Aufladbar/ Akku betrieben
6057213,118,hochwertige Verarbeitung
6057213,119,Licht wiederaufladbar
6057213,119,Optik
6057213,119,Vergrösserung
6057213,119,Tolles Licht
6057213,119,Material
6057213,119,Verarbeitung
6057213,120,Sehr helles Licht
6057213,120,Handlich
6057213,120,Sieht top aus
6057213,120,Lange Akkulaufzeit
6057213,120,Einfaches Aufladen mit Micro-USB
12230461,121,Batteriewechsel easy
12230461,121,Sieht gut aus. Klare Linie
12230461,121,Vergrösserungsfaktor ist gut
12230461,122,Beleuchtung ist gut
12230461,122,"grosse Fläche, gutes Licht"
12230461,122,Kein kabel
12230461,122,10x zoom
12230461,125,Qualität nicht schlecht
12230461,125,Spiegel selbst
12230461,125,Licht
12230461,125,Sieht gut aus
12230461,125,Qualitativ hochwertig
12230461,128,Stabiler Aufbau
12230461,129,Angenehmes Licht
12230461,129,Sehr gute Vergrösserung
12230461,129,Optimale Höhe beim Sitzen
12230461,130,10-fach Vergrösserung ist top
12230461,130,Ideale Grösse
12230461,131,"10-fache Vergrößerung, damit Sie nichts verpassen!"
12230461,131,Sehr gute Stabilität
12230461,132,Gute Vergrößerung
12230461,133,alles
12114653,134,Ideale Grösse
12114653,135,Licht
12114653,135,Ablage
12114653,135,leicht zum demontieren
12114653,135,2. kleiner Spiegel mit zoom
12114653,135,2 höhen und Kugelgelenk
12114653,135,Ablage
12114653,135,günstig
12114653,136,cooler spiegel
12114653,137,gute Vergrösserung
12114653,137,gutes Licht
12114653,138,Helles Licht
12114653,138,Optimale Grösse
12114653,138,Vergrösserungsspiegel kann an grossen Spiegel angeheftet werden
12114653,138,Super Preis / Leistungsverhältniss
12114653,139,Beweglich
12114653,139,Mit Licht und Lupe
12114653,139,Mit Abstellfläche
12114653,139,Stil
12114653,139,Funktion
6044512,141,Lupe + Spiegel
6044512,,solide
6044512,,gutes Preis-Leistungs-Verhältnis
6044512,,Anpassen der Helligkeit
6044512,142,Licht
6044512,,Vergrösserung
6044512,,Guter Spiegel
6044512,144,Spiegelbilder sind gut
6044512,,Günstig
6044512,,Schön
6044512,,Hell
6044512,,2 verschiedene Vergrösserungsstufen
6044512,146,sehr helles licht
6044512,146,steht sicher
6044512,146,5fache Vergrösserung
6044512,146,"Spiegel, der gut beleuchtet und es ermöglicht, die Haut detailliert zu sehen"
6044512,146,Schönes Design
6044512,146,Gute Größe
6044512,148,Gute Grösse
6044512,,Nicht zu schwer
6044512,,Batterien sind dabei
6044512,,x7 Vergrösserung ist optimal
6044512,,Preis
6044512,149,Qualität
6044512,,Helligkeit
6044512,,Vergrößerung und Standard
6044512,150,Licht
6044512,,7x Vergrösserung
6044512,151,Preis-Leistung top
6044512,,Gutes Licht
6044512,,Einstellbares Licht
6044512,,Perfekte Grösse
6044512,,Passt überall hin
6044512,152,7x Vergrösserung
6044512,,touch
6044512,,schönes Design
6044512,,Stabil
6044512,,Wertig
